,i1,isoi1,i2,isoi2,f1,isof1,f2,isof2,V
126,4.0,1.0,3.0,2.0,9.0,1.0,9.0,2.0,1.753766
127,4.0,1.0,3.0,2.0,10.0,1.0,3.0,2.0,-0.546812
128,4.0,1.0,3.0,2.0,10.0,1.0,10.0,2.0,-1.753766
129,4.0,1.0,4.0,2.0,3.0,1.0,6.0,2.0,0.000947
130,4.0,1.0,4.0,2.0,4.0,1.0,4.0,2.0,-1e-06
131,4.0,1.0,4.0,2.0,4.0,1.0,9.0,2.0,-0.000818
132,4.0,1.0,4.0,2.0,5.0,1.0,3.0,2.0,-0.000947
133,4.0,1.0,4.0,2.0,5.0,1.0,10.0,2.0,-0.000235
134,4.0,1.0,4.0,2.0,7.0,1.0,8.0,2.0,4e-06
135,4.0,1.0,4.0,2.0,9.0,1.0,6.0,2.0,0.000238
136,4.0,1.0,4.0,2.0,10.0,1.0,4.0,2.0,0.000826
137,4.0,1.0,4.0,2.0,10.0,1.0,9.0,2.0,-1e-06
138,4.0,1.0,5.0,2.0,3.0,1.0,3.0,2.0,0.000947
139,4.0,1.0,5.0,2.0,3.0,1.0,10.0,2.0,1.73513
140,4.0,1.0,5.0,2.0,4.0,1.0,5.0,2.0,-1.94255
141,4.0,1.0,5.0,2.0,6.0,1.0,4.0,2.0,1.941916
142,4.0,1.0,5.0,2.0,6.0,1.0,9.0,2.0,0.44546
143,4.0,1.0,5.0,2.0,8.0,1.0,7.0,2.0,-0.00675
144,4.0,1.0,5.0,2.0,9.0,1.0,3.0,2.0,-1.750167
145,4.0,1.0,5.0,2.0,9.0,1.0,10.0,2.0,0.002475
146,4.0,1.0,5.0,2.0,10.0,1.0,5.0,2.0,-0.451421
147,4.0,1.0,6.0,2.0,4.0,1.0,6.0,2.0,-0.241772
148,4.0,1.0,6.0,2.0,5.0,1.0,4.0,2.0,0.241316
149,4.0,1.0,6.0,2.0,5.0,1.0,9.0,2.0,-0.802055
150,4.0,1.0,6.0,2.0,10.0,1.0,6.0,2.0,0.809214
151,4.0,1.0,7.0,2.0,3.0,1.0,8.0,2.0,2.615272
152,4.0,1.0,7.0,2.0,4.0,1.0,7.0,2.0,-2.615272
153,4.0,1.0,7.0,2.0,7.0,1.0,3.0,2.0,-2.660645
154,4.0,1.0,7.0,2.0,7.0,1.0,10.0,2.0,-0.202287
155,4.0,1.0,7.0,2.0,8.0,1.0,4.0,2.0,2.660645
156,4.0,1.0,7.0,2.0,8.0,1.0,9.0,2.0,0.202287
157,4.0,1.0,7.0,2.0,9.0,1.0,8.0,2.0,0.204933
158,4.0,1.0,7.0,2.0,10.0,1.0,7.0,2.0,-0.204933
159,4.0,1.0,8.0,2.0,4.0,1.0,8.0,2.0,-0.351333
160,4.0,1.0,8.0,2.0,5.0,1.0,7.0,2.0,-0.102702
161,4.0,1.0,8.0,2.0,7.0,1.0,4.0,2.0,0.353648
162,4.0,1.0,8.0,2.0,7.0,1.0,9.0,2.0,0.037139
163,4.0,1.0,8.0,2.0,8.0,1.0,6.0,2.0,0.092862
164,4.0,1.0,8.0,2.0,10.0,1.0,8.0,2.0,-0.02851
165,4.0,1.0,9.0,2.0,3.0,1.0,6.0,2.0,1.73513
166,4.0,1.0,9.0,2.0,4.0,1.0,4.0,2.0,-0.000818
167,4.0,1.0,9.0,2.0,4.0,1.0,9.0,2.0,-1.570073
168,4.0,1.0,9.0,2.0,5.0,1.0,3.0,2.0,-1.734336
169,4.0,1.0,9.0,2.0,5.0,1.0,10.0,2.0,-0.400754
170,4.0,1.0,9.0,2.0,7.0,1.0,8.0,2.0,0.005771
171,4.0,1.0,9.0,2.0,9.0,1.0,6.0,2.0,0.406087
172,4.0,1.0,9.0,2.0,10.0,1.0,4.0,2.0,1.583361
173,4.0,1.0,9.0,2.0,10.0,1.0,9.0,2.0,-0.002274
174,4.0,1.0,10.0,2.0,3.0,1.0,4.0,2.0,0.532642
175,4.0,1.0,10.0,2.0,3.0,1.0,9.0,2.0,0.168228
176,4.0,1.0,10.0,2.0,4.0,1.0,3.0,2.0,-0.532642
177,4.0,1.0,10.0,2.0,4.0,1.0,10.0,2.0,-0.168228
178,4.0,1.0,10.0,2.0,5.0,1.0,5.0,2.0,-0.357497
179,4.0,1.0,10.0,2.0,6.0,1.0,6.0,2.0,0.357497
180,4.0,1.0,10.0,2.0,7.0,1.0,7.0,2.0,-0.233655
181,4.0,1.0,10.0,2.0,8.0,1.0,8.0,2.0,0.233655
182,4.0,1.0,10.0,2.0,9.0,1.0,4.0,2.0,0.170404
183,4.0,1.0,10.0,2.0,9.0,1.0,9.0,2.0,-0.232045
184,4.0,1.0,10.0,2.0,10.0,1.0,3.0,2.0,-0.170404
185,4.0,1.0,10.0,2.0,10.0,1.0,10.0,2.0,0.232045
186,5.0,1.0,6.0,1.0,3.0,1.0,4.0,1.0,-4.407839
187,5.0,1.0,6.0,1.0,3.0,1.0,10.0,1.0,0.727601
188,5.0,1.0,6.0,1.0,4.0,1.0,9.0,1.0,-0.727601
