V0 (1) = 800.000
#  i    sp levels      j     sp levels     k     sp levels     l     sp levels    isospin   V_pair
   1    -26.623512     5    -11.302825     5    -11.302825     1    -26.623512     1     -2.178114
   1    -26.623512     5    -11.302825     5    -11.302825     2    -26.623512     1      2.339442
   1    -26.623512     5    -11.302825     5    -11.302825     3    -11.317252     1      2.023199
   1    -26.623512     5    -11.302825     5    -11.302825     4    -11.317252     1      1.825032
   1    -26.623512     5    -11.302825     5    -11.302825     6    -11.302825     1      2.749231
   1    -26.623512     5    -11.302825     5    -11.302825     7     -4.228309     1     -1.898121
   1    -26.623512     5    -11.302825     5    -11.302825     8     -4.228309     1     -0.451601
   1    -26.623512     5    -11.302825     6    -11.302825     1    -26.623512     1     -2.339442
   1    -26.623512     5    -11.302825     6    -11.302825     2    -26.623512     1     -2.178114
   1    -26.623512     5    -11.302825     6    -11.302825     3    -11.317252     1      1.825032
   1    -26.623512     5    -11.302825     6    -11.302825     4    -11.317252     1     -2.023199
   1    -26.623512     5    -11.302825     6    -11.302825     5    -11.302825     1     -2.749231
   1    -26.623512     5    -11.302825     6    -11.302825     7     -4.228309     1      0.451601
   1    -26.623512     5    -11.302825     6    -11.302825     8     -4.228309     1     -1.898121
   1    -26.623512     5    -11.302825     7     -4.228309     1    -26.623512     1      2.541850
   1    -26.623512     5    -11.302825     7     -4.228309     2    -26.623512     1      1.371424
   1    -26.623512     5    -11.302825     7     -4.228309     3    -11.317252     1     -2.426755
   1    -26.623512     5    -11.302825     7     -4.228309     4    -11.317252     1      1.100094
   1    -26.623512     5    -11.302825     7     -4.228309     5    -11.302825     1      1.898121
   1    -26.623512     5    -11.302825     7     -4.228309     6    -11.302825     1     -0.451601
   1    -26.623512     5    -11.302825     7     -4.228309     8     -4.228309     1      2.282205
   1    -26.623512     5    -11.302825     8     -4.228309     1    -26.623512     1     -1.371424
   1    -26.623512     5    -11.302825     8     -4.228309     2    -26.623512     1      2.541850
   1    -26.623512     5    -11.302825     8     -4.228309     3    -11.317252     1      1.100094
   1    -26.623512     5    -11.302825     8     -4.228309     4    -11.317252     1      2.426755
   1    -26.623512     5    -11.302825     8     -4.228309     5    -11.302825     1      0.451601
   1    -26.623512     5    -11.302825     8     -4.228309     6    -11.302825     1      1.898121
   1    -26.623512     5    -11.302825     8     -4.228309     7     -4.228309     1     -2.282205
   1    -26.623512     6    -11.302825     1    -26.623512     2    -26.623512     1      6.348735
   1    -26.623512     6    -11.302825     1    -26.623512     3    -11.317252     1     -0.000051
   1    -26.623512     6    -11.302825     1    -26.623512     4    -11.317252     1      4.042452
   1    -26.623512     6    -11.302825     1    -26.623512     5    -11.302825     1      2.339442
   1    -26.623512     6    -11.302825     1    -26.623512     6    -11.302825     1      4.330145
   1    -26.623512     6    -11.302825     1    -26.623512     7     -4.228309     1     -2.715405
   1    -26.623512     6    -11.302825     1    -26.623512     8     -4.228309     1      2.549671
   1    -26.623512     6    -11.302825     2    -26.623512     1    -26.623512     1     -6.348735
   1    -26.623512     6    -11.302825     2    -26.623512     3    -11.317252     1      4.042452
   1    -26.623512     6    -11.302825     2    -26.623512     4    -11.317252     1      0.000051
   1    -26.623512     6    -11.302825     2    -26.623512     5    -11.302825     1     -4.330145
   1    -26.623512     6    -11.302825     2    -26.623512     6    -11.302825     1      2.339442
   1    -26.623512     6    -11.302825     2    -26.623512     7     -4.228309     1     -2.549671
   1    -26.623512     6    -11.302825     2    -26.623512     8     -4.228309     1     -2.715405
   1    -26.623512     6    -11.302825     3    -11.317252     1    -26.623512     1      0.000051
   1    -26.623512     6    -11.302825     3    -11.317252     2    -26.623512     1     -4.042452
   1    -26.623512     6    -11.302825     3    -11.317252     4    -11.317252     1     -3.153256
   1    -26.623512     6    -11.302825     3    -11.317252     5    -11.302825     1     -1.824956
   1    -26.623512     6    -11.302825     3    -11.317252     6    -11.302825     1     -2.727196
   1    -26.623512     6    -11.302825     3    -11.317252     7     -4.228309     1      2.179461
   1    -26.623512     6    -11.302825     3    -11.317252     8     -4.228309     1     -1.647061
   1    -26.623512     6    -11.302825     4    -11.317252     1    -26.623512     1     -4.042452
   1    -26.623512     6    -11.302825     4    -11.317252     2    -26.623512     1     -0.000051
   1    -26.623512     6    -11.302825     4    -11.317252     3    -11.317252     1      3.153256
   1    -26.623512     6    -11.302825     4    -11.317252     5    -11.302825     1     -2.727196
   1    -26.623512     6    -11.302825     4    -11.317252     6    -11.302825     1      1.824956
   1    -26.623512     6    -11.302825     4    -11.317252     7     -4.228309     1     -1.647061
   1    -26.623512     6    -11.302825     4    -11.317252     8     -4.228309     1     -2.179461
   1    -26.623512     6    -11.302825     5    -11.302825     1    -26.623512     1     -2.339442
   1    -26.623512     6    -11.302825     5    -11.302825     2    -26.623512     1      4.330145
   1    -26.623512     6    -11.302825     5    -11.302825     3    -11.317252     1      1.824956
   1    -26.623512     6    -11.302825     5    -11.302825     4    -11.317252     1      2.727196
   1    -26.623512     6    -11.302825     5    -11.302825     6    -11.302825     1      4.961607
   1    -26.623512     6    -11.302825     5    -11.302825     7     -4.228309     1     -2.841121
   1    -26.623512     6    -11.302825     5    -11.302825     8     -4.228309     1      1.102766
   1    -26.623512     6    -11.302825     6    -11.302825     1    -26.623512     1     -4.330145
   1    -26.623512     6    -11.302825     6    -11.302825     2    -26.623512     1     -2.339442
   1    -26.623512     6    -11.302825     6    -11.302825     3    -11.317252     1      2.727196
   1    -26.623512     6    -11.302825     6    -11.302825     4    -11.317252     1     -1.824956
   1    -26.623512     6    -11.302825     6    -11.302825     5    -11.302825     1     -4.961607
   1    -26.623512     6    -11.302825     6    -11.302825     7     -4.228309     1     -1.102766
   1    -26.623512     6    -11.302825     6    -11.302825     8     -4.228309     1     -2.841121
   1    -26.623512     6    -11.302825     7     -4.228309     1    -26.623512     1      2.715405
   1    -26.623512     6    -11.302825     7     -4.228309     2    -26.623512     1      2.549671
   1    -26.623512     6    -11.302825     7     -4.228309     3    -11.317252     1     -2.179461
   1    -26.623512     6    -11.302825     7     -4.228309     4    -11.317252     1      1.647061
   1    -26.623512     6    -11.302825     7     -4.228309     5    -11.302825     1      2.841121
   1    -26.623512     6    -11.302825     7     -4.228309     6    -11.302825     1      1.102766
   1    -26.623512     6    -11.302825     7     -4.228309     8     -4.228309     1      2.965656
   1    -26.623512     6    -11.302825     8     -4.228309     1    -26.623512     1     -2.549671
   1    -26.623512     6    -11.302825     8     -4.228309     2    -26.623512     1      2.715405
   1    -26.623512     6    -11.302825     8     -4.228309     3    -11.317252     1      1.647061
   1    -26.623512     6    -11.302825     8     -4.228309     4    -11.317252     1      2.179461
   1    -26.623512     6    -11.302825     8     -4.228309     5    -11.302825     1     -1.102766
   1    -26.623512     6    -11.302825     8     -4.228309     6    -11.302825     1      2.841121
   1    -26.623512     6    -11.302825     8     -4.228309     7     -4.228309     1     -2.965656
   1    -26.623512     7     -4.228309     1    -26.623512     2    -26.623512     1     -5.420877
   1    -26.623512     7     -4.228309     1    -26.623512     3    -11.317252     1      0.000079
   1    -26.623512     7     -4.228309     1    -26.623512     4    -11.317252     1     -4.391485
   1    -26.623512     7     -4.228309     1    -26.623512     5    -11.302825     1     -2.541850
   1    -26.623512     7     -4.228309     1    -26.623512     6    -11.302825     1     -2.715405
   1    -26.623512     7     -4.228309     1    -26.623512     7     -4.228309     1      2.990282
   1    -26.623512     7     -4.228309     1    -26.623512     8     -4.228309     1     -1.604749
   1    -26.623512     7     -4.228309     2    -26.623512     1    -26.623512     1      5.420877
   1    -26.623512     7     -4.228309     2    -26.623512     3    -11.317252     1     -4.391485
   1    -26.623512     7     -4.228309     2    -26.623512     4    -11.317252     1     -0.000079
   1    -26.623512     7     -4.228309     2    -26.623512     5    -11.302825     1      2.715405
   1    -26.623512     7     -4.228309     2    -26.623512     6    -11.302825     1     -2.541850
   1    -26.623512     7     -4.228309     2    -26.623512     7     -4.228309     1      1.604749
   1    -26.623512     7     -4.228309     2    -26.623512     8     -4.228309     1      2.990282
   1    -26.623512     7     -4.228309     3    -11.317252     1    -26.623512     1     -0.000079
   1    -26.623512     7     -4.228309     3    -11.317252     2    -26.623512     1      4.391485
   1    -26.623512     7     -4.228309     3    -11.317252     4    -11.317252     1      4.192327
   1    -26.623512     7     -4.228309     3    -11.317252     5    -11.302825     1      2.426688
   1    -26.623512     7     -4.228309     3    -11.317252     6    -11.302825     1      2.179496
   1    -26.623512     7     -4.228309     3    -11.317252     7     -4.228309     1     -2.938664
   1    -26.623512     7     -4.228309     3    -11.317252     8     -4.228309     1      1.326419
   1    -26.623512     7     -4.228309     4    -11.317252     1    -26.623512     1      4.391485
   1    -26.623512     7     -4.228309     4    -11.317252     2    -26.623512     1      0.000079
   1    -26.623512     7     -4.228309     4    -11.317252     3    -11.317252     1     -4.192327
   1    -26.623512     7     -4.228309     4    -11.317252     5    -11.302825     1      2.179496
   1    -26.623512     7     -4.228309     4    -11.317252     6    -11.302825     1     -2.426688
   1    -26.623512     7     -4.228309     4    -11.317252     7     -4.228309     1      1.326419
   1    -26.623512     7     -4.228309     4    -11.317252     8     -4.228309     1      2.938664
   1    -26.623512     7     -4.228309     5    -11.302825     1    -26.623512     1      2.541850
   1    -26.623512     7     -4.228309     5    -11.302825     2    -26.623512     1     -2.715405
   1    -26.623512     7     -4.228309     5    -11.302825     3    -11.317252     1     -2.426688
   1    -26.623512     7     -4.228309     5    -11.302825     4    -11.317252     1     -2.179496
   1    -26.623512     7     -4.228309     5    -11.302825     6    -11.302825     1     -3.292722
   1    -26.623512     7     -4.228309     5    -11.302825     7     -4.228309     1      2.288846
   1    -26.623512     7     -4.228309     5    -11.302825     8     -4.228309     1      0.549718
   1    -26.623512     7     -4.228309     6    -11.302825     1    -26.623512     1      2.715405
   1    -26.623512     7     -4.228309     6    -11.302825     2    -26.623512     1      2.541850
   1    -26.623512     7     -4.228309     6    -11.302825     3    -11.317252     1     -2.179496
   1    -26.623512     7     -4.228309     6    -11.302825     4    -11.317252     1      2.426688
   1    -26.623512     7     -4.228309     6    -11.302825     5    -11.302825     1      3.292722
   1    -26.623512     7     -4.228309     6    -11.302825     7     -4.228309     1     -0.549718
   1    -26.623512     7     -4.228309     6    -11.302825     8     -4.228309     1      2.288846
   1    -26.623512     7     -4.228309     7     -4.228309     1    -26.623512     1     -2.990282
   1    -26.623512     7     -4.228309     7     -4.228309     2    -26.623512     1     -1.604749
   1    -26.623512     7     -4.228309     7     -4.228309     3    -11.317252     1      2.938664
   1    -26.623512     7     -4.228309     7     -4.228309     4    -11.317252     1     -1.326419
   1    -26.623512     7     -4.228309     7     -4.228309     5    -11.302825     1     -2.288846
   1    -26.623512     7     -4.228309     7     -4.228309     6    -11.302825     1      0.549718
   1    -26.623512     7     -4.228309     7     -4.228309     8     -4.228309     1     -2.791819
   1    -26.623512     7     -4.228309     8     -4.228309     1    -26.623512     1      1.604749
   1    -26.623512     7     -4.228309     8     -4.228309     2    -26.623512     1     -2.990282
   1    -26.623512     7     -4.228309     8     -4.228309     3    -11.317252     1     -1.326419
